token	exchange	symbol	series	security_desc
6994	NSE_EQ	BSOFT	EQ	BIRLASOFT LIMITED
14150	NSE_EQ	BTML	EQ	BODHI TREE MULTIMEDIA LTD
2716	NSE_EQ	BUTTERFLY	EQ	BTRFLY GANDHI APPL LTD
7919	NSE_EQ	BYKE	EQ	THE BYKE HOSPITALITY LTD
8341	NSE_EQ	CALSOFT	EQ	CALIFORNIA SOFTWARE CO LT
6216	NSE_EQ	CAMLINFINE	EQ	CAMLIN FINE SCIENCES LTD
9362	NSE_EQ	CAMPUS	EQ	CAMPUS ACTIVEWEAR LIMITED
342	NSE_EQ	CAMS	EQ	COMPUTER AGE MNGT SER LTD
583	NSE_EQ	CANFINHOME	EQ	CAN FIN HOMES LTD
759477	NSE_EQ	CANHLIFE	EQ	CANARA HSBC LIFE INS CO L
20160	NSE_EQ	CANTABIL	EQ	CANTABIL RETAIL LTD
21749	NSE_EQ	CAPACITE	EQ	CAPACITE INFRAPROJECT LTD
22675	NSE_EQ	CAPITALSFB	EQ	CAPITAL SMALL FIN BANK L
3906	NSE_EQ	CAPLIPOINT	EQ	CAPLIN POINT LAB LTD.
28879	NSE_EQ	CARRARO	EQ	CARRARO INDIA LIMITED
30139	NSE_EQ	CASHIETF	EQ	ICICIPRAMC - CASHIETF
1250	NSE_EQ	CASTROLIND	EQ	CASTROL INDIA LIMITED
14992	NSE_EQ	CCCL	EQ	CONS. CONST. CONSORT LTD
6385	NSE_EQ	CCHHL	EQ	COUNTRY CLUB HOSP HOL LTD
21174	NSE_EQ	CDSL	EQ	CENTRAL DEPO SER (I) LTD
